Prize,OddsMin,Strategy,Bets,ROI,NetProfit
0,1.0,Leader,67235,90.92193054212837,56094.042
0,1.0,Top3,109360,65.10019202633505,64080.491500000004
0,1.5,Leader,64642,93.73362519724017,55588.52549999999
0,1.5,Top3,105765,66.67525173734222,63453.17599999998
0,2.0,Leader,60080,97.35517643142477,53628.140499999994
0,2.0,Top3,99260,68.45545033246022,61073.28599999999
10000,1.0,Leader,29917,144.9963231607447,40539.0225
10000,1.0,Top3,44063,115.65460817465902,47269.79549999999
10000,1.5,Leader,28268,152.14808263761142,40191.958999999995
10000,1.5,Top3,41930,120.5040305270689,46864.57299999999
10000,2.0,Leader,25508,162.85212482358475,38812.004
10000,2.0,Top3,38263,127.55426913728667,45256.485499999995
20000,1.0,Leader,21224,164.62966453071994,32802.549999999996
20000,1.0,Top3,30155,137.63710827391807,38769.9965
20000,1.5,Leader,19724,175.40062867572505,32477.669
20000,1.5,Top3,28216,145.62868585199885,38381.81049999999
20000,2.0,Leader,17348,191.84096149412036,31239.741499999996
20000,2.0,Top3,25108,157.42149912378525,36914.6205
30000,1.0,Leader,15176,171.68147074327885,24518.461
30000,1.0,Top3,21054,148.1125676831006,29232.238999999994
30000,1.5,Leader,13855,185.7980512450379,24224.104
30000,1.5,Top3,19352,159.16721785861927,28873.287999999993
30000,2.0,Leader,11898,206.8462766851572,23157.141499999998
30000,2.0,Top3,16806,175.24181839819113,27604.032999999996
40000,1.0,Leader,10526,163.88675660269809,16240.884000000002
40000,1.0,Top3,14537,142.74238150925225,19463.436999999998
40000,1.5,Leader,9428,180.15772168010182,15990.2065
40000,1.5,Top3,13118,155.6860039640189,19154.8455
40000,2.0,Leader,7884,204.00266362252663,15139.841499999999
40000,2.0,Top3,11109,174.16230083715908,18144.2555
50000,1.0,Leader,7392,157.58103354978354,10968.070499999998
50000,1.0,Top3,10184,138.01070306362922,13187.2095
50000,1.5,Leader,6532,175.13273116962645,10770.886499999997
50000,1.5,Top3,9057,152.34448492878437,12944.998
50000,2.0,Leader,5381,199.73369262218918,10117.8365
50000,2.0,Top3,7549,171.79546959862233,12165.147999999997
