Back_Excl,Lay_Th,Bets,PnL,SR,ROI_pct
0.1,0.6,163,25.65,0.7117,15.7362
0.1,0.65,35,12.5,0.7714,35.7143
0.1,0.7,13,7.09,0.8462,54.5385
0.1,0.75,1,1.0,1.0,100.0
0.1,0.8,0,0.0,,
0.15,0.6,5266,647.21,0.8468,12.2904
0.15,0.65,1969,374.99,0.8761,19.0447
0.15,0.7,417,195.22,0.9161,46.8153
0.15,0.75,21,21.0,1.0,100.0
0.15,0.8,0,0.0,,
0.2,0.6,11868,1490.57,0.8852,12.5596
0.2,0.65,3632,803.79,0.9009,22.1308
0.2,0.7,583,230.37,0.9211,39.5146
0.2,0.75,21,21.0,1.0,100.0
0.2,0.8,0,0.0,,
0.25,0.6,12311,1521.82,0.8875,12.3615
0.25,0.65,3668,785.14,0.9005,21.4051
0.25,0.7,586,223.37,0.9198,38.1177
0.25,0.75,21,21.0,1.0,100.0
0.25,0.8,0,0.0,,
0.3,0.6,12322,1508.82,0.8875,12.2449
0.3,0.65,3668,785.14,0.9005,21.4051
0.3,0.7,586,223.37,0.9198,38.1177
0.3,0.75,21,21.0,1.0,100.0
0.3,0.8,0,0.0,,
